Région,Département,Type d'établissement,Association / Fondation,Nom de l'établissement,Capacité,Descrption
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,MECS Docteur Yvert I Acolea,15.0,"La MECS accueille 15 enfants, en mixité, de 5 à 18 ans dans une maison de village qui, du fait de son organisation architecturale tend à proposer un fonctionnement de « style familial » aux enfants confiés."
Nouvelle Aquitaine,Deux Sèvres,Placement Familial,APLB, Placement Familial des Deux-Sèvres I APLB,15.0,"Les Maisons d'accueil, Service de Placement Familial de 15 places."
Ile de France,Hauts de Seine,Accompagnement,Jean Cotxet,SAEJ 92 I Asso Jean Cotxet,15.0,"Le service est habilité à recevoir 15 enfants, filles et garçons, âgés de 5 à 12 ans, habitant les communes de VILLENEUVE LA GARENNE et GENNEVILLIERS"
Auvergne Rhône Alpes,Drome,Hébergement,AMAPE,MECS Loriol 3 I AMAPE,16.0,"7 places mises à l’abris/prestation Urgence
3 places d'Urgence
6 places classiques en appartement"
Auvergne Rhône Alpes,Drome,Hébergement,AMAPE,AE La Laupie I AMAPE,16.0,"Une activité d'accueil d'urgence :
- 15 places en internat
- 1 place hors des murs"
Bretagne,Ille et Vilaine,Hébergement,Armée du Salut,PAD | Les enfants de Rochebonne I Amrée du Salut,41.0,"Un service de Placement A Domicile (PAD) de 36 places pour des enfants et adolescents de 1 à 18 ans ;
Un service de Soutien Intensif aux Assistants Familiaux (SIAF) de 5 places pour des enfants et adolescents de 1 à 18 ans ;"
Grand Est,Marne,Hébergement,Lucy Lebon,ITEP de Châlons I Fondation Lucy Lebon,16.0,"16 places : 12 en internat, 4 en semi-internat"
Bourgogne Franche Comté,Saône et Loire,Placement à Domicile,Sauvegarde73,PàD I Sauvegarde71,8.0,"De 8 jeunes de 13 à 21 dans le cadre 
du Placement à Domicile"
Bourgogne Franche Comté,Yonne,Hébergement,EJA,MECS La Grande Chaume I Enfance et Jeunesse en Avallonais (EJA),21.0,"Les petits/moyens ; soit des enfants âgés de 3 à 13 ans. Chacun dispose d’une chambre individuelle sauf pour les plus jeunes, pour qui nous disposons de chambres doubles. Ces chambres nous permettent également d’accueillir des fratries.
Les adolescents, âgés de 14 à 18 ans"
Bretagne,Finistère,Hébergement,Association Don Bosco,AE d'urgence I Association Don Bosco,17.0,Le service est habilité à accueillir 17 mineurs de 6 à 18 ans (dont 3 places en cours d'étude) et prioritairement des mineurs du département. Une dérogation peut être accordée pour les moins de 6 ans en cas d’accueil de fratrie.
Centre Val de Loire,Loir et Cher,Hébergement,ACESM,MECS de Bougainville I ACESM ,17.0,Le service accueille 17 mineurs âgé(es) de 13 à 18 ans. Exclusivement féminin
Grand Est,Haute Marne,Hébergement,Lucy Lebon,ITEP pour ados I Fondation Lucy Lebon,17.0,17 places : 10 en internat et 7 en semi-internat
Grand Est,Meurthe et Moselle,Placement Familial,Association REALISE,Placement familial de REALISE I Association REALISE,17.0,"17 jeunes, adolescent(e)s âgé(e)s de 0 à 18 ans"
Normandie,Seine Maritime,Hébergement,Association Thiétreville,MECS Les Marronniers I Association Thiétreville,17.0,"La MECS Les Marronniers est un établissement accueillant 12 garçons, âgés de 11 à 20 ans révolus, en hébergement collectif et 5 jeunes, âgés de 17 à 20 ans"
PACA,Var,Hébergement,Moissons Nouvelles,MECS Equinoxe I Moissons Nouvelles,17.0,"Nombre de places : 17
14-18ans.  mixte sur le « Service Éducatif de Proximité » et exclusivement féminin sur « Vie-Là »."
Bretagne,Cotes d'Armor,Hébergement,L'Envol 22,AE Kairos I L'Envol 22,12.0,"Accueille 12 jeunes, garçons et filles, âgés de 13 à 18 ans ne pouvant être accompagnés en collectif. Hébergement diversifié : famille d'accueil, lieux de vie, séjours de rupture, etc …"
Bretagne,Cotes d'Armor,Hébergement,L'Envol 22,AETP Ker Nevez I L'Envol 22,13.0,"Accueil de 13 jeunes, garçons et filles de 16 à 18 ans.
Hébergement diversifié (petit collectif, studios, F.J.T…) et, en perspective, accompagnement du projet personnalisé de deux adolescents avec maintien en famille."
Bretagne,Cotes d'Armor,Hébergement,L'Envol 22,MECS Le Relais I L'Envol 22,18.0,"18 jeunes majeurs de 17,5 à 21 ans dans le cadre d’un contrat jeune majeur (APJM).  Accompagnement Educatif pour finaliser un projet d'insertion. Hébergement individuel en studio, F.J.T. ou colocation."
Nouvelle Aquitaine,Dordogne,Hébergement,APLB,MECS Ribérac/ Le Fleix I APLB,78.0,"D'une capacité totale de 78 jeunes, garçons et filles, La Maison d'Enfants Dordogne-Périgord est une Maison d'Enfants à Caractère Social autorisée par le Conseil Départemental de la Dordogne.

L'établissement se compose de différents sites

Internat du Fleix - 24130 Le Fleix
Internat Mangout- 24600 de Ribérac
Hébergement Diversifié (Bergerac, Sainte-Foy-La-Grande, Castillon, Ribérac...)"
Bourgogne Franche Comté,Doubs,Hébergement,Centre Départemental,Foyer de l'enfance Maison du Point du Jour + FAU I Centre Départemental ,32.0,5/6 ans à 12 ans.
Auvergne Rhône Alpes,Isère,Placement à Domicile,La Sauvegarde Isère,Le Village de l'amitié I La Sauvegarde Isère,18.0,Suivi à domicile (Service Educatif pour un Accompagnement à Domicile – SEPAD)  de 13 à 18 ans
Hauts de France,Nord,Accueil de jour,La Sauvegarde du Nord,CAJ Institut Fernand Deligny I La Sauvegarde du Nord ,18.0,Le Centre d’Accueil de Jour accueille 18 enfants (garçons et filles) âgés de 4 à 11 ans
Auvergne Rhône Alpes,Savoie,Hébergement,Les Etoiles d'Hetia,Foyer d'urgence I Les Etoiles d'Hetia,18.0," Un groupe de vie de 8 places à Aiton, avec des chambres individuelles, pour des jeunes de 13 à 21 ans.

 L’hébergement externalisé en appartements accueillant 10 jeunes, proritairement des Mineurs Non Accompagnés (MNA) en colocation sur Aiguebelle.
"
Occitanie,Tarn,Accueil de jour,Arseaa,SEJ I Arseaa,18.0,Un Service Éducatif de Jour (SEJ) de 18 places.
Occitanie,Aude,Hébergement,Le Rayon de Soleil,MECS Rayon de Soleil I Association Le Rayon de Soleil,19.0,Accueil de en Maison d'enfants 19 pré-adolescents de 12 à 16 ans.
Bretagne,Finistère,Hébergement,Fondation Massé-Trévidy,MECS Ty Massé I Fondation Massé-Trévidy,19.0,"Les Petiots : 9 enfants et adolescents, 7 sont accueillis en permanence, et 2 en accueils séquentiels.
Les Padawans : 6 jeunes âgés de 13 à 18 ans
Le Cap Vers : 4 jeunes préparant progressivement leur autonomie."
Bretagne,Ille et Vilaine,Hébergement,Armée du Salut,MEP/AJ | Les enfants de Rochebonne I Amrée du Salut,30.0,"Un service d’action éducative en milieu ouvert, Mesures Educatives Personnalisées (MEP) de 22 places pour des enfants et adolescents de 1 à 18 ans ;
Un service d’Accueil de Jour (AJ) de 8 places pour des enfants et adolescents de 8 à 14 ans."
Centre Val de Loire,Indre,Hébergement,Moissons Nouvelles,ITEP de Pellevoisin I Moissons Nouvelles,22.0,"Un internat, ouvert du lundi au vendredi, est organisé en 4 groupes de vie de 10 jeunes dont un groupe externalisé dans la villa de Buzançais.
Un semi-internat, ouvert du lundi au vendredi  accueillant 12 jeunes au sein d’un cinquième groupe de vie. La modularité de la fréquence d’accueil est adaptée à chaque enfant et négociée avec lui, sa famille et l’établissement."
Grand Est,Moselle,Hébergement,Moissons Nouvelles,MECS du Pays de Nabor I Moissons Nouvelles,19.0,"Nombre de places : 18 + 1 accueil modulable
13-18ans. Garàons uniquement"
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,AE Base I Acolea,19.0,"Le service BASE situé à Lyon 1er propose l’accompagnement de 19 jeunes ; garçons et filles de 16 à 21 ans, confiés à l’A.S.E. ou sous Contrat Jeune Majeur."
PACA,Var,Hébergement,Moissons Nouvelles,MECS Les Cades I Moissons Nouvelles,19.0,"Nombre de places : 19 en internat ou en séquentiel
6-21ans. Mixte"
Ile de France,Hauts de Seine,Hébergement,Asso Jean Cotxet,AE de Garches I Asso Jean Cotxet,19.0,"L’établissement reçoit 19 adolescentes et jeunes majeures âgées de 15 à 20 ans, en difficultés familiales, originaires de Paris et de la Région Ile de France."
PACA,Alpes Maritimes,Hébergement,Fondation Emilie Chiris,"MECS Emilie Chiris I Croix-Rouge Française, Fondation Emilie Chiris",37.0,"LE SERVICE DE PLACEMENT À DOMICILE : 10 PLACES, LE SERVICE D’ACCOMPAGNEMENT ET D’AIDE AUX ASSISTANTES FAMILIALES SPÉCIALISÉES : 12 PLACES, L’ACCUEIL TEMPORAIRE - PLACES DE RÉPIT OU REPLI : 2 PLACES DÉDIÉES AU SERVICE ASFAM OU PAD,L’INTERNAT EN PETITES UNITÉS DE VIE 12 PLACES : 7 (ADOLESCENTS) + 5 (ENFANTS)"
PACA,Alpes Maritimes,Hébergement,Fondation de Nice,CAP Envol I ACODEGE,23.0,Le CAP-ENVOL s’organise sur deux espaces de vie collective proposant une expérience de socialisation aux mineurs accueillis. Le CAP-ENVOL accompagne 23 adolescents âgés de 11 à 16 ans sur deux unités de vie.
Grand Est,Ardennes,Hébergement,Apprentis d'Auteuil,Service d'accueil Don Bosco I Apprentis d'Auteuil,20.0,"Il permet aux enfants de passer du temps avec leurs parents, d'apporter aux familles un accompagnement socio-éducatif pour consolider les relations familiales et de réfléchir à leurs fonctions parentales. Pour cela le service met à disposition 2 appartements à Charleville-Mézières pour les parents et les enfants."
Occitanie,Aude,Hébergement,Le Rayon de Soleil,MECS Rayon de soleil I Association Le Rayon de Soleil,20.0,Accueil en Maison d'enfants de 20 enfants de 3 à 12 ans 
Normandie,Calvados,Accompagnement,OND,SAJE de Caen I OND,20.0,6-18 accueil mixte 
Nouvelle Aquitaine,Charente,Hébergement, Moissons Nouvelles,MNA Hirizon I Moissons Nouvelles,20.0,"Âge : 6 à 21 ans, mixte"
Bretagne,Cotes d'Armor,Accueil de jour,Groupe SOS Jeunesse,SAJE 22 I Groupe SOS Jeunesse,20.0,"L’établissement s’adresse à des enfants présentant des difficultés éducatives, familiales, scolaires et parfois psychologiques. Il peut accueillir 20 enfants âgés de 7 à 13 ans du lundi au samedi et durant les vacances scolaires.  deux sites : l’un à Loudéac, l’autre à Saint Brieuc"
Auvergne Rhône Alpes,Drome,Hébergement,AMAPE,MECS Loriol 2  I AMAPE,20.0,"12 places en hébergements diversifiés (appartements, familles d'accueil et familles relais)
8 jeunes majeurs"
Auvergne Rhône Alpes,Isère,Accompagnement,La Sauvegarde Isère,ASMA I La Sauvegarde Isère ,20.0,"Accompagnement Social Mineurs vers l'Autonomie
Il accueille des jeunes âgés de 17 à 21 ans."
Nouvelle Aquitaine,Landes,Hébergement,ASAEL,MECS Les Acacias I ASAEL,12.0,"Enfants et adolescents assujettis à une mesure de l'ASE ou placés par la PJJ :
Hébergement Complet Internat : 12 places"
Nouvelle Aquitaine,Landes,Hébergement,ASAEL,MECS Saint-Paul-lès-Dax I ASAEL,12.0,Un enfant ou adolescent assujetti à une mesure de l'ASE ou placés par la PJJ est issu d'un milieu familial :
Centre Val de Loire,Loiret,Accueil de jour,La VAGA,AE de l'Orléanais I La VAGA,20.0,"- qui n'est pas en mesure de garantir sa santé (par exemple, absence de soins médicaux), sa sécurité ou sa moralité,"
Centre Val de Loire,Loiret,Accueil de jour,La VAGA,AE du Montargois I La VAGA,20.0,"- dans lequel les conditions de son éducation ou de son développement physique, affectif, intellectuel et social sont gravement compromises."
Pays de la Loire,Maine et Loire,Hébergement,Apprentis d'Auteuil,La Novathèque I Apprentis d'Auteuil,30.0,10 jeunes en semi-autonomie en appartement et 10 jeunes en LVA (Lieu de vie et d’accueil)
Pays de la Loire,Mayenne,Hébergement,Apprentis d'Auteuil,MECS Le Havre-Rose de Lima I Apprentis d'Auteuil,20.0,"accueille au maximum 20 jeunes, garçons et filles, âgés de 6 à 18 ans."
Grand Est,Moselle,Hébergement,CMSEA,Maison d'accueil Mousqueton I CMSEA,20.0,Il permet à 20 adolescents âgés de 13 à 17 ans de « raccrocher » une démarche progressive d'insertion sociale.
Grand Est,Moselle,Placement à Domicile,CMSEA,Placement à domicile I CMSEA,20.0,s'adresse à 20 enfants âgés de 0 à 18 ans habitant sur le territoire de Sarreguemines.
Auvergne Rhône Alpes,Rhone,Hébergement,Acolea,AE Saint Michel I Acolea,20.0,"La capacité d’accueil est de 19 places et une place d’urgence.
Les publics accueillis sont des adolescentes de 13 à 18 ans.
Les adolescentes sont accueillies sur 2 pavillons distincts : le pavillon sud pour les jeunes de 13 à 15 ans et le pavillon nord pour les jeunes de 16 à 18 ans."
Pays de la Loire,Sarthe,Placement à Domicile,ACADEA,PEAD Administratif et Judiciaire I ACADEA ,40.0,Service de Placement Educatif A Domicile Administratif (PEADA) pour 20 enfants de 0 à 13 ans.
Occitanie,Tarn et Garonne,Hébergement,Groupe SOS Jeunesse,MECS de Moissac I Groupe SOS Jeunesse,20.0,"Filles et garçons de 6 à 21 ans, scolarisés ou en formation."
PACA,Vaucluse,Hébergement,ADVESEA 84,MECS Le Moulin du Vaisseau I ADVESEA 84,20.0,accueil jeune mixte
Bourgogne Franche Comté,Yonne,Accueil de jour,La VAGA,AE du Sénonais I La VAGA,29.0,"2 accueils de Jour, l’un pour 29 enfants et adolescents."
Ile de France,Essone,Hébergement,Droit d'Enfance,MECS Françoise Dolto I Droit Enfance,20.0,20 enfants filles et garçons de 3-13ans
Ile de France,Hauts de Seine,Hébergement,La VAGA,AE Chatenay Malabry I La VAGA,40.0,2 services de soutien à la parentalité et d’accueil de jour (SPAJ) à Châtenay-Malabry pour 20 enfants de 3 à 12 ans et à Bagneux pour 20 jeunes de 12 à 16 ans.
Ile de France,Val de Marne,Hébergement,Asso Jean Cotxet,Kennedy I Asso Jean Cotxet,20.0,La structure reçoit 20 jeunes : 11 jeunes filles âgées de 13 à 18 ans au foyer d’hébergement et 9 jeunes majeur(e)s en appartement.
Bourgogne Franche Comté,Cote d'Or,Hébergement,ACODEGE,Itinérance 21 I ACODEGE,21.0,"Le Dispositif Expérimental Itinérance 21 accueille des jeunes âgés de 11 à 15 ans accompagnés dans le cadre de la protection de l’enfance, mettant en échec des accompagnements classiques et se retrouvant dans des conduites à risques récurrentes."
Bretagne,Finistère,Hébergement,Association Don Bosco,SASEP Landerneau I Association Don Bosco,21.0,"Cette antenne accompagne 21 jeunes, filles et garçons, âgés de 16 à 21 ans, accueillis en appartements individuels à Landerneau et Morlaix."
Auvergne Rhône Alpes,Isère,Accueil de jour,L'Astragale 44, AJ Les Tisserands I L'Astragale 44,21.0,Valeur par défaut
Grand Est,Meurthe et Moselle,Hébergement,Association REALISE,MECS du Foug I Association REALISE ,21.0,"21 places pour des jeunes et adolescent(e)s âgé(e)s de 0 à 18 ans, dont 5 places dédiées à des enfants présentant des difficultés spécifiques (troubles du comportement, de la santé)."
Auvergne Rhône Alpes,Savoie,Hébergement,Les Etoiles d'Hetia,MECS L'Accueil I Les Etoiles d'Hetia,21.0," L’internat à temps plein ou en accueil modulable, de 18 places divisées en 2 groupes accueillant des jeunes âgés de 5 à 18 ans.

 L’hébergement externalisé en studios ou en appartement accueillant 3 jeunes de 16 à 21 ans en colocation ou en hébergement individuel."
Ile de France,Paris,Hébergement,Asso Jean Cotxet,MECS Amandiers-Belleville I Asso Jean Coxtet,21.0,garçons âgés de 13 à 21 ans.
Grand Est,Ardennes,Hébergement,Groupe SOS Jeunesse,AETP La Passerelle I Groupe SOS Jeunesse ,12.0,"propose un accompagnement visant l’épanouissement et la valorisation des potentialités des enfants et des jeunes accueillis présentant des troubles de la conduite et du comportement.
Accueille 22 garçons et filles, âgés de 14 à 20 ans"
Centre Val de Loire,Eure et Loir,Hébergement,La VAGA,AE Eure-et-Loir I La VAGA,22.0,"L’établissement accueille, avec ou sans hébergement, 22 enfants de 2 à 12 ans qui ont besoin d’une protection temporaire.
1 accueil de jour pour 12 enfants
1 maison de voisinage pour 10 enfants
"
Bretagne,Ille et Vilaine,Hébergement,Association Le Goéland,MECS Le Goéland I Association Le Goéland,,"Les Établissements d’Accueil Mère-Enfant reçoivent des femmes enceintes et des mères avec enfants de moins de 3 ans. Des mères avec enfants de plus de trois ans peuvent aussi être accueillies, si elles sont enceintes ou si le plus jeune a moins de trois ans. Il s’agit généralement de femmes majeures ou mineures, isolées et en difficulté (notamment victimes de violences conjugales) et qui ont besoin d’un soutien pédagogique, psychologique et matériel."
Grand Est,Haute Marne,Hébergement,Lucy Lebon,MECS de Saint-Dizier I Fondation Lucy Lebon,22.0,22 places : 14 places dinternat ; 4 places cas complexes ; 2 places d'accueil d'urgence ; 2 places d'accueil de jour
Grand Est,Moselle,Hébergement,Moissons Nouvelles,MECS Viotti I Moissons Nouvelles ,22.0,"Nombre de places : 21 + 1 lit crise conjoncturelle
6-17ans. Mixte"
